        aeat           p         rho        mach         son         isp          cf        ivac
   0.0000E+00  1.0000E+02  2.3592E+01  0.0000E+00  7.0274E+02  0.0000E+00  0.0000E+00  0.0000E+00
   1.0000E+00  5.7289E+01  1.4604E+01  9.9999E-01  6.7404E+02  6.7403E+02  6.6347E-01  1.2560E+03
   5.0000E+00  3.5517E+00  1.3037E+00  2.6963E+00  5.6005E+02  1.5101E+03  1.4864E+00  1.6905E+03
   1.0000E+01  1.4339E+00  5.9400E-01  3.1359E+00  5.2843E+02  1.6571E+03  1.6311E+00  1.8028E+03
   1.5000E+01  8.5371E-01  3.7965E-01  3.3843E+00  5.1073E+02  1.7285E+03  1.7014E+00  1.8586E+03
   2.0000E+01  5.9309E-01  2.7741E-01  3.5594E+00  4.9842E+02  1.7741E+03  1.7463E+00  1.8946E+03
   2.5000E+01  4.4789E-01  2.1789E-01  3.6951E+00  4.8902E+02  1.8070E+03  1.7787E+00  1.9207E+03
   3.0000E+01  3.5641E-01  1.7906E-01  3.8060E+00  4.8144E+02  1.8324E+03  1.8037E+00  1.9410E+03
   3.5000E+01  2.9399E-01  1.5178E-01  3.8999E+00  4.7511E+02  1.8529E+03  1.8239E+00  1.9574E+03
   4.0000E+01  2.4892E-01  1.3159E-01  3.9814E+00  4.6969E+02  1.8700E+03  1.8407E+00  1.9712E+03
   4.5000E+01  2.1500E-01  1.1607E-01  4.0533E+00  4.6496E+02  1.8846E+03  1.8551E+00  1.9829E+03
   5.0000E+01  1.8864E-01  1.0376E-01  4.1177E+00  4.6077E+02  1.8973E+03  1.8676E+00  1.9931E+03
   6.0000E+01  1.5047E-01  8.5512E-02  4.2294E+00  4.5361E+02  1.9185E+03  1.8884E+00  2.0102E+03
   7.0000E+01  1.2434E-01  7.2645E-02  4.3241E+00  4.4765E+02  1.9357E+03  1.9053E+00  2.0241E+03
   8.0000E+01  1.0542E-01  6.3096E-02  4.4064E+00  4.4255E+02  1.9501E+03  1.9195E+00  2.0357E+03
   9.0000E+01  9.1138E-02  5.5734E-02  4.4791E+00  4.3811E+02  1.9624E+03  1.9316E+00  2.0457E+03
   1.0000E+02  8.0016E-02  4.9888E-02  4.5443E+00  4.3418E+02  1.9731E+03  1.9421E+00  2.0544E+03
   1.1000E+02  7.1130E-02  4.5136E-02  4.6035E+00  4.3066E+02  1.9825E+03  1.9515E+00  2.0620E+03
   1.2000E+02  6.3881E-02  4.1199E-02  4.6576E+00  4.2747E+02  1.9910E+03  1.9598E+00  2.0689E+03
   1.3000E+02  5.7865E-02  3.7885E-02  4.7075E+00  4.2456E+02  1.9986E+03  1.9673E+00  2.0750E+03
   1.4000E+02  5.2800E-02  3.5057E-02  4.7539E+00  4.2188E+02  2.0056E+03  1.9741E+00  2.0807E+03
   1.5000E+02  4.8482E-02  3.2617E-02  4.7972E+00  4.1939E+02  2.0119E+03  1.9804E+00  2.0858E+03
   1.6000E+02  4.4760E-02  3.0489E-02  4.8378E+00  4.1709E+02  2.0178E+03  1.9861E+00  2.0905E+03
   1.7000E+02  4.1523E-02  2.8619E-02  4.8760E+00  4.1493E+02  2.0232E+03  1.9915E+00  2.0949E+03
   1.8000E+02  3.8684E-02  2.6962E-02  4.9122E+00  4.1290E+02  2.0282E+03  1.9964E+00  2.0990E+03
   1.9000E+02  3.6175E-02  2.5484E-02  4.9465E+00  4.1099E+02  2.0329E+03  2.0011E+00  2.1028E+03
   2.0000E+02  3.3944E-02  2.4157E-02  4.9792E+00  4.0918E+02  2.0374E+03  2.0054E+00  2.1063E+03
   2.1000E+02  3.1948E-02  2.2960E-02  5.0103E+00  4.0746E+02  2.0415E+03  2.0095E+00  2.1097E+03
