        aeat           p         rho        mach         son         isp          cf        ivac
   5.0000E+00  4.5869E+01  7.2029E+00  2.7789E+00  8.8620E+02  2.4626E+03  1.4862E+00  2.7212E+03
   1.0000E+01  1.7447E+01  3.3081E+00  3.3002E+00  8.1237E+02  2.6810E+03  1.6180E+00  2.8777E+03
   1.5000E+01  1.0004E+01  2.1250E+00  3.6101E+00  7.7075E+02  2.7825E+03  1.6793E+00  2.9517E+03
   2.0000E+01  6.7566E+00  1.5584E+00  3.8355E+00  7.4190E+02  2.8456E+03  1.7173E+00  2.9979E+03
   2.5000E+01  4.9870E+00  1.2276E+00  4.0146E+00  7.1988E+02  2.8900E+03  1.7442E+00  3.0306E+03
   3.0000E+01  3.8922E+00  1.0112E+00  4.1642E+00  7.0211E+02  2.9237E+03  1.7645E+00  3.0554E+03
   3.5000E+01  3.1566E+00  8.5884E-01  4.2933E+00  6.8724E+02  2.9506E+03  1.7807E+00  3.0751E+03
   4.0000E+01  2.6329E+00  7.4590E-01  4.4074E+00  6.7447E+02  2.9726E+03  1.7940E+00  3.0914E+03
   4.5000E+01  2.2435E+00  6.5890E-01  4.5097E+00  6.6330E+02  2.9912E+03  1.8052E+00  3.1051E+03
   5.0000E+01  1.9442E+00  5.8986E-01  4.6027E+00  6.5337E+02  3.0072E+03  1.8149E+00  3.1168E+03
   6.0000E+01  1.5173E+00  4.8729E-01  4.7673E+00  6.3632E+02  3.0335E+03  1.8308E+00  3.1362E+03
   7.0000E+01  1.2302E+00  4.1481E-01  4.9103E+00  6.2206E+02  3.0545E+03  1.8434E+00  3.1516E+03
   8.0000E+01  1.0257E+00  3.6092E-01  5.0371E+00  6.0981E+02  3.0717E+03  1.8538E+00  3.1642E+03
   9.0000E+01  8.7356E-01  3.1931E-01  5.1515E+00  5.9909E+02  3.0863E+03  1.8626E+00  3.1749E+03
   1.0000E+02  7.5664E-01  2.8622E-01  5.2559E+00  5.8957E+02  3.0987E+03  1.8701E+00  3.1841E+03
   1.1000E+02  6.6436E-01  2.5929E-01  5.3521E+00  5.8102E+02  3.1097E+03  1.8767E+00  3.1921E+03
   1.2000E+02  5.8993E-01  2.3695E-01  5.4414E+00  5.7325E+02  3.1193E+03  1.8825E+00  3.1991E+03
   1.3000E+02  5.2881E-01  2.1812E-01  5.5249E+00  5.6615E+02  3.1279E+03  1.8877E+00  3.2054E+03
   1.4000E+02  4.7785E-01  2.0204E-01  5.6033E+00  5.5961E+02  3.1356E+03  1.8924E+00  3.2111E+03
   1.5000E+02  4.3481E-01  1.8815E-01  5.6773E+00  5.5355E+02  3.1427E+03  1.8966E+00  3.2162E+03
   1.6000E+02  3.9805E-01  1.7603E-01  5.7475E+00  5.4791E+02  3.1491E+03  1.9005E+00  3.2209E+03
   1.7000E+02  3.6634E-01  1.6536E-01  5.8142E+00  5.4263E+02  3.1550E+03  1.9041E+00  3.2252E+03
   1.8000E+02  3.3875E-01  1.5591E-01  5.8779E+00  5.3768E+02  3.1604E+03  1.9074E+00  3.2292E+03
   1.9000E+02  3.1456E-01  1.4747E-01  5.9388E+00  5.3301E+02  3.1655E+03  1.9104E+00  3.2329E+03
   2.0000E+02  2.9320E-01  1.3989E-01  5.9972E+00  5.2861E+02  3.1702E+03  1.9132E+00  3.2363E+03
   2.1000E+02  2.7422E-01  1.3304E-01  6.0533E+00  5.2443E+02  3.1745E+03  1.9159E+00  3.2395E+03
