        aeat           p         rho        mach         son         isp          cf
   5.0000E+00  8.8215E+00  1.6544E+00  2.9523E+00  8.4230E+02  2.4867E+03  1.4839E+00
   1.0000E+01  3.1663E+00  7.6945E-01  3.5950E+00  7.4365E+02  2.6734E+03  1.5952E+00
   1.5000E+01  1.7637E+00  4.9763E-01  4.0009E+00  6.8880E+02  2.7558E+03  1.6444E+00
   2.0000E+01  1.1744E+00  3.6667E-01  4.3102E+00  6.5080E+02  2.8051E+03  1.6738E+00
   2.5000E+01  8.6250E-01  2.8984E-01  4.5602E+00  6.2253E+02  2.8388E+03  1.6940E+00
   3.0000E+01  6.7366E-01  2.3942E-01  4.7657E+00  6.0094E+02  2.8639E+03  1.7089E+00
   3.5000E+01  5.4861E-01  2.0382E-01  4.9368E+00  5.8410E+02  2.8836E+03  1.7206E+00
   4.0000E+01  4.6037E-01  1.7736E-01  5.0812E+00  5.7065E+02  2.8996E+03  1.7302E+00
   4.5000E+01  3.9509E-01  1.5692E-01  5.2052E+00  5.5965E+02  2.9131E+03  1.7382E+00
   5.0000E+01  3.4502E-01  1.4067E-01  5.3132E+00  5.5044E+02  2.9246E+03  1.7451E+00
   6.0000E+01  2.7360E-01  1.1647E-01  5.4938E+00  5.3580E+02  2.9436E+03  1.7564E+00
   7.0000E+01  2.2538E-01  9.9321E-02  5.6407E+00  5.2454E+02  2.9587E+03  1.7655E+00
   8.0000E+01  1.9081E-01  8.6539E-02  5.7641E+00  5.1548E+02  2.9713E+03  1.7730E+00
   9.0000E+01  1.6490E-01  7.6648E-02  5.8704E+00  5.0797E+02  2.9820E+03  1.7794E+00
   1.0000E+02  1.4483E-01  6.8770E-02  5.9636E+00  5.0158E+02  2.9912E+03  1.7849E+00
   1.1000E+02  1.2884E-01  6.2347E-02  6.0465E+00  4.9605E+02  2.9994E+03  1.7897E+00
   1.2000E+02  1.1585E-01  5.7015E-02  6.1211E+00  4.9119E+02  3.0066E+03  1.7941E+00
   1.3000E+02  1.0509E-01  5.2515E-02  6.1890E+00  4.8685E+02  3.0132E+03  1.7980E+00
   1.4000E+02  9.6041E-02  4.8668E-02  6.2512E+00  4.8296E+02  3.0191E+03  1.8015E+00
   1.5000E+02  8.8339E-02  4.5342E-02  6.3086E+00  4.7942E+02  3.0245E+03  1.8047E+00
   1.6000E+02  8.1709E-02  4.2438E-02  6.3619E+00  4.7619E+02  3.0295E+03  1.8077E+00
   1.7000E+02  7.5946E-02  3.9881E-02  6.4116E+00  4.7322E+02  3.0341E+03  1.8105E+00
   1.8000E+02  7.0895E-02  3.7612E-02  6.4581E+00  4.7048E+02  3.0384E+03  1.8130E+00
   1.9000E+02  6.6433E-02  3.5586E-02  6.5019E+00  4.6793E+02  3.0424E+03  1.8154E+00
   2.0000E+02  6.2466E-02  3.3765E-02  6.5432E+00  4.6555E+02  3.0462E+03  1.8177E+00
   2.1000E+02  5.8917E-02  3.2119E-02  6.5824E+00  4.6332E+02  3.0497E+03  1.8198E+00
