        aeat           p         rho        mach         isp          cf         son        ivac
   5.0000E+00  5.1005E+01  6.9154E+00  2.6949E+00  2.5144E+03  1.4876E+00  9.3302E+02  2.8078E+03
   1.0000E+01  2.0100E+01  3.1535E+00  3.1643E+00  2.7570E+03  1.6311E+00  8.7129E+02  2.9882E+03
   1.5000E+01  1.1794E+01  2.0177E+00  3.4348E+00  2.8727E+03  1.6995E+00  8.3634E+02  3.0762E+03
   2.0000E+01  8.1065E+00  1.4757E+00  3.6271E+00  2.9457E+03  1.7427E+00  8.1214E+02  3.1322E+03
   2.5000E+01  6.0693E+00  1.1600E+00  3.7772E+00  2.9980E+03  1.7736E+00  7.9370E+02  3.1725E+03
   3.0000E+01  4.7945E+00  9.5394E-01  3.9008E+00  3.0380E+03  1.7973E+00  7.7882E+02  3.2035E+03
   3.5000E+01  3.9295E+00  8.0909E-01  4.0062E+00  3.0702E+03  1.8164E+00  7.6637E+02  3.2284E+03
   4.0000E+01  3.3082E+00  7.0185E-01  4.0982E+00  3.0969E+03  1.8322E+00  7.5567E+02  3.2491E+03
   4.5000E+01  2.8427E+00  6.1933E-01  4.1801E+00  3.1196E+03  1.8456E+00  7.4631E+02  3.2667E+03
   5.0000E+01  2.4823E+00  5.5391E-01  4.2539E+00  3.1393E+03  1.8572E+00  7.3798E+02  3.2820E+03
   6.0000E+01  1.9635E+00  4.5684E-01  4.3830E+00  3.1719E+03  1.8765E+00  7.2367E+02  3.3074E+03
   7.0000E+01  1.6107E+00  3.8836E-01  4.4938E+00  3.1981E+03  1.8921E+00  7.1168E+02  3.3278E+03
   8.0000E+01  1.3567E+00  3.3752E-01  4.5910E+00  3.2200E+03  1.9050E+00  7.0137E+02  3.3448E+03
   9.0000E+01  1.1662E+00  2.9829E-01  4.6778E+00  3.2385E+03  1.9160E+00  6.9232E+02  3.3593E+03
   1.0000E+02  1.0185E+00  2.6713E-01  4.7564E+00  3.2546E+03  1.9255E+00  6.8427E+02  3.3718E+03
   1.1000E+02  9.0119E-01  2.4180E-01  4.8282E+00  3.2688E+03  1.9339E+00  6.7702E+02  3.3828E+03
   1.2000E+02  8.0585E-01  2.2080E-01  4.8945E+00  3.2814E+03  1.9413E+00  6.7043E+02  3.3926E+03
   1.3000E+02  7.2708E-01  2.0312E-01  4.9560E+00  3.2927E+03  1.9480E+00  6.6438E+02  3.4014E+03
   1.4000E+02  6.6100E-01  1.8802E-01  5.0135E+00  3.3029E+03  1.9541E+00  6.5881E+02  3.4094E+03
   1.5000E+02  6.0489E-01  1.7499E-01  5.0675E+00  3.3123E+03  1.9596E+00  6.5364E+02  3.4166E+03
   1.6000E+02  5.5670E-01  1.6363E-01  5.1184E+00  3.3209E+03  1.9647E+00  6.4881E+02  3.4233E+03
   1.7000E+02  5.1494E-01  1.5364E-01  5.1666E+00  3.3288E+03  1.9694E+00  6.4429E+02  3.4295E+03
   1.8000E+02  4.7842E-01  1.4479E-01  5.2124E+00  3.3361E+03  1.9737E+00  6.4004E+02  3.4352E+03
   1.9000E+02  4.4625E-01  1.3689E-01  5.2560E+00  3.3430E+03  1.9777E+00  6.3603E+02  3.4405E+03
   2.0000E+02  4.1773E-01  1.2979E-01  5.2977E+00  3.3494E+03  1.9815E+00  6.3223E+02  3.4455E+03
   2.1000E+02  3.9229E-01  1.2339E-01  5.3376E+00  3.3554E+03  1.9851E+00  6.2863E+02  3.4501E+03
